City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Buala,SB,-8.145,159.5921,83.32,74,73,5.12,moderate rain
133,Port Hardy,CA,50.6996,-127.4199,51.98,50,1,13.8,clear sky
134,Port Lincoln,AU,-34.7333,135.8667,71.53,43,0,9.06,clear sky
135,Saint George,US,37.1041,-113.5841,74.95,31,1,1.01,clear sky
136,Amalapuram,IN,16.5833,82.0167,79.18,89,62,4.32,broken clouds
137,Tres Arroyos,AR,-38.3739,-60.2798,51.44,77,100,7.83,overcast clouds
138,Englewood,US,39.6478,-104.9878,49.17,72,90,1.01,overcast clouds
139,Biak,ID,-0.9131,122.8766,82.89,68,37,1.61,scattered clouds
140,Lakatoro,VU,-16.0999,167.4164,81.23,71,42,8.28,scattered clouds
141,Mayo,US,38.8876,-76.5119,60.78,72,75,3.0,broken clouds
142,Clyde River,CA,70.4692,-68.5914,19.15,85,100,7.43,overcast clouds
143,Kavieng,PG,-2.5744,150.7967,85.95,63,46,14.9,scattered clouds
144,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.87,92,83,2.24,broken clouds
145,Gamba,GA,-2.65,10.0,76.01,89,100,7.58,light rain
146,Kruisfontein,ZA,-34.0033,24.7314,61.88,84,100,11.81,overcast clouds
147,Balakirevo,RU,56.5059,38.8432,37.99,89,7,8.25,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,68.22,86,74,11.05,broken clouds
149,Filadelfia,US,39.9523,-75.1638,60.3,74,75,5.99,broken clouds
150,Tigil,RU,57.8,158.6667,20.75,84,100,12.5,light snow
151,Sidi Ali,DZ,36.0998,0.4206,67.06,74,34,14.79,scattered clouds
152,Moratuwa,LK,6.773,79.8816,77.02,89,100,10.92,overcast clouds
153,Cidreira,BR,-30.1811,-50.2056,67.87,88,9,21.27,clear sky
154,Airai,TL,-8.9266,125.4092,73.96,47,55,2.13,broken clouds
155,Erzin,TR,36.9559,36.2,61.32,66,94,8.59,overcast clouds
156,Marawi,PH,7.9986,124.2928,72.64,75,38,3.58,scattered clouds
157,Saldanha,ZA,-33.0117,17.9442,62.65,76,100,11.32,light rain
158,Khatanga,RU,71.9667,102.5,5.4,96,100,11.9,light snow
159,Namatanai,PG,-3.6667,152.4333,85.19,68,80,9.71,light rain
160,Karratha,AU,-20.7377,116.8463,77.56,53,6,9.69,clear sky
161,Lashio,MM,22.9333,97.75,64.56,92,29,0.38,scattered clouds
162,Wanlaweyn,SO,2.6185,44.8938,76.46,80,4,8.03,clear sky
163,Pangnirtung,CA,66.1451,-65.7125,27.19,97,100,4.18,snow
164,Kahului,US,20.8947,-156.47,87.06,66,40,10.36,scattered clouds
165,Nelson Bay,AU,-32.7167,152.15,74.28,55,100,1.99,overcast clouds
166,Rasulnagar,PK,32.3285,73.7814,62.83,57,0,6.85,clear sky
167,Kushmurun,KZ,52.4503,64.6311,44.17,82,100,13.89,overcast clouds
168,Nokaneng,BW,-19.6667,22.2667,79.74,14,0,3.56,clear sky
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.9,94,100,19.24,overcast clouds
170,Bardiyah,LY,31.7561,25.0865,68.68,75,100,18.99,overcast clouds
171,Marsh Harbour,BS,26.5412,-77.0636,76.82,62,9,6.51,clear sky
172,Erpeli,RU,42.8058,46.9773,44.62,85,42,2.91,scattered clouds
173,Atbasar,KZ,51.8,68.3333,42.64,83,100,16.35,overcast clouds
174,Hithadhoo,MV,-0.6,73.0833,81.81,77,100,19.64,overcast clouds
175,Adrar,MR,20.5022,-10.0711,82.06,24,50,7.63,scattered clouds
176,Labytnangi,RU,66.6572,66.4183,5.13,84,60,6.67,broken clouds
177,Bilma,NE,18.6853,12.9164,76.87,23,6,12.03,clear sky
